variable,importancia,importancia_std,modelo
desc_tipo_de_vivienda_PROPIA,0.00035981179587094567,5.738227442838029e-05,B
desc_tipo_de_vivienda_ARRENDADA,0.0002659620941092955,9.146307655372076e-05,B
tiene_estimador_ingreso,0.0001751551946801877,0.00017169873549818197,B
grupo_edad_36-49,0.00013022891551361937,6.182048772045219e-05,B
desc_tipo_de_vivienda_FAMILIAR,9.576846502159508e-05,2.9949700873172786e-05,B
grupo_edad_50-65,6.421304226738034e-05,0.00013373992924852623,B
desc_tipo_de_vivienda_Sin dato,6.240517075450924e-05,8.068789882356367e-05,B
desc_segmento_plus,1.0376779241250133e-05,1.27202561383993e-05,B
falta_estimador,0.0,0.0,B
sin_dato_financiero,0.0,0.0,B
desc_tipo_de_vivienda_NO INFORMA,0.0,0.0,B
pct_ahorro_ingreso,-6.166085190673076e-05,7.776487904773327e-05,B
